1831,94
1832,111
1833,98
1834,101
1835,105
1836,158
1837,101
1838,38
1839,61
1840,73
1841,63
1842,86
1843,87
1844,114
1845,99
1846,92
1847,101
1848,104
1849,80
1850,91
1851,126
1852,117
1853,121
1854,112
1855,128
1856,144
1857,112
1858,83
1859,95
1860,137
1861,154
1862,156
1863,341
1864,296
1865,0
1866,0
1867,0
1868,0
1869,54
1870,21
1871,107
1872,135
1873,52
1874,74
1875,111
1876,164
1877,179
1878,163
1879,160
1880,158
1881,154
1882,166
1883,209
1884,225
1885,241
1886,212
1887,238
1888,208
1889,206
1890,220
1891,167
1892,164
1893,166
1894,180
1895,185
1896,301
1897,329
1898,361
1899,401
1900,413
1901,396
1902,375
1903,430
1904,473
1905,491
1906,471
1907,573
1908,591
1909,611
1910,571
1911,542
1912,652
1913,721
1914,745
1915,774
1916,938
1917,857
1918,1165
1919,1216
1920,1661
1921,2134
1922,2683
1923,3488
1924,3604
1925,4334
1926,4829
1927,5664
1928,6106
1929,6688
1930,4104
1931,4639
1932,4650
1933,4433
1934,4717
1935,4896
1936,4897
1937,5210
1938,5409
1939,5503
1940,5258
1941,4921
1942,4481
1943,2582
1944,2538
1945,3183
1946,8626
1947,8729
1948,9105
1949,8290
1950,6661
1951,5715
1952,5885
1953,6214
1954,6690
1955,7580
1956,7661
1957,7735
1958,7836
1959,8117
1960,8573
1961,9009
1962,9323
1963,9673
1964,10476
1965,11817
1966,12995
1967,13236
1968,13092
1969,13359
1970,13364
1971,13564
1972,14349
1973,14938
1974,15638
1975,16916
1976,16567
1977,16920
1978,17048
1979,17776
1980,17918
1981,17505
1982,16022
1983,15993
1984,15661
1985,15619
1986,16247
1987,17202
1988,18547
1989,19469
1990,19828
1991,19827
1992,19267
1993,19516
1994,19366
1995,19043
1996,18007
1997,18379
1998,18476
1999,18782
2000,19318
2001,19171
2002,19633
2003,20333
2004,20969
2005,21835
2006,23878
2007,25580
2008,27052
2009,28807
2010,30232
2011,31747
2012,33602
2013,34852
2014,36155
2015,37100
2016,37665
2017,38563
2018,38392
2019,38103
2020,37842
